A_Feed_stream1,D_Feed_stream2,E_Feed_stream3,AC_Feed_stream4,Recycle_Flow_stream8,Reactor_Feed_Rate_stream6,Reactor_Pressure,Reactor_Level,Reactor_Temperature,Purge_Rate_stream9,Product_Sep_Temp,Product_Sep_Level,Prod_Sep_Pressure,Prod_Sep_Underflow_stream10,Stripper_Level,Stripper_Pressure,Stripper_Underflow_stream11,Stripper_Temperature,Stripper_Steam_Flow,Compressor_Work,Reactor_CW_Outlet_Temp,Separator_CW_Outlet_Temp,Reactor_Feed_CompA,Reactor_Feed_CompB,Reactor_Feed_CompC,Reactor_Feed_CompD,Reactor_Feed_CompE,Reactor_Feed_CompF,Purge_Gas_CompA,Purge_Gas_CompB,Purge_Gas_CompC,Purge_Gas_CompD,Purge_Gas_CompE,Purge_Gas_CompF,Purge_Gas_CompG,Purge_Gas_CompH,Product_CompD,Product_CompE,Product_CompF,Product_CompG,Product_CompH,D_Feed_Flow,E_Feed_Flow,A_Feed_Flow,AC_Feed_Flow,Compressor_Recycle_Valve,Purge_Valve,Separator_Pot_Liquid_Flow,Stripper_Product_Flow,Stripper_Steam_Valve,Reactor_CW_Flow,Condenser_CW_Flow,fault
0.24987,0.25118,0.25185,0.25147,0.24107,0.24314,0.26121,0.26004,0.25202,0.25513,0.2289,0.23041,0.24305,0.24107,0.23164,0.23226,0.25887,0.25979,0.26402,0.266,0.25435,0.25539,0.26915,0.26621,0.22884,0.22591,0.26744,0.26791,0.26363,0.26271,0.25566,0.25553,0.24871,0.24996,0.29993,0.29837,0.26424,0.26314,0.27733,0.27906,0.24091,0.24087,0.1904,0.18823,0.23953,0.23906,0.22432,0.22551,0.24163,0.24219,0.24377,0.24361,0
3642.6,3694.8,3683.5,3653.9,3629.3,3681.9,3712.5,3722.7,3684.0,3643.7,3674.9,3642.9,3667.8,3650.0,3678.0,3661.7,3643.3,3615.0,3696.1,3662.9,3654.5,3644.6,3669.6,3683.7,3672.7,3643.2,3648.3,3670.2,3677.1,3651.7,3652.0,3668.7,3633.7,3617.3,3593.7,3647.6,3695.7,3669.7,3637.6,3649.3,3695.6,3682.1,3662.8,3682.0,3664.9,3650.4,3716.4,3686.4,3626.3,3664.2,3631.5,3628.0,0
4539.6,4513.8,4504.9,4531.9,4527.0,4485.6,4511.7,4518.3,4510.0,4476.7,4501.8,4532.3,4518.7,4520.0,4511.3,4508.2,4483.8,4497.7,4568.1,4525.3,4528.8,4532.3,4539.7,4532.3,4491.6,4523.5,4563.5,4595.3,4488.3,4535.1,4441.6,4492.5,4552.1,4559.2,4517.6,4531.6,4537.2,4557.3,4508.3,4498.8,4537.2,4535.4,4551.8,4548.5,4573.5,4551.0,4532.3,4542.7,4540.1,4523.2,4483.7,4507.6,0
9.2784,9.2831,9.46,9.3462,9.3406,9.2274,9.3253,9.3491,9.4889,9.3231,9.33,9.2339,9.3578,9.3659,9.3792,9.3486,9.3162,9.3705,9.3586,9.3448,9.3382,9.341,9.4384,9.3307,9.2793,9.269,9.2639,9.403,9.2833,9.2782,9.3297,9.2981,9.4682,9.2492,9.37,9.4684,9.4462,9.3207,9.2838,9.3129,9.3996,9.2806,9.2865,9.3031,9.2753,9.2842,9.2336,9.1853,9.3927,9.2796,9.2841,9.2645,0
27.2,27.077,26.987,26.983,27.041,26.555,26.865,27.055,26.562,27.103,26.867,27.112,26.332,26.821,26.588,26.836,26.779,27.102,27.282,27.047,27.143,26.997,26.89,26.929,27.005,26.967,27.317,26.641,26.934,26.823,26.605,26.864,26.875,26.722,26.556,26.862,27.136,26.841,26.941,26.892,27.048,26.828,26.922,27.133,26.682,27.225,26.823,26.878,27.098,27.076,27.038,27.077,0
42.248,42.736,42.245,42.656,42.52,42.587,42.247,42.37,42.508,42.172,42.396,42.418,42.295,42.332,42.326,42.261,42.438,42.398,42.306,42.772,42.544,42.297,42.5,42.097,41.886,42.528,42.289,42.384,42.37,42.185,42.504,42.515,41.882,42.456,42.416,42.397,42.224,42.147,42.045,42.363,42.506,42.273,42.406,42.342,42.346,42.221,42.268,42.284,42.841,41.736,42.089,42.125,0
2704.2,2705.4,2705.2,2706.3,2705.6,2704.9,2704.1,2703.0,2703.8,2705.9,2707.6,2704.9,2704.4,2703.9,2705.7,2706.8,2706.9,2706.5,2709.0,2706.7,2705.2,2706.3,2708.1,2709.8,2710.0,2708.4,2705.9,2706.4,2705.4,2706.9,2706.2,2704.4,2704.6,2705.0,2707.9,2708.9,2709.7,2712.4,2709.7,2706.2,2705.9,2703.3,2704.2,2702.3,2703.8,2704.4,2705.3,2701.9,2699.5,2698.0,2697.9,2696.6,0
75.492,74.628,74.315,75.487,75.332,75.491,75.189,74.842,75.205,75.086,75.465,75.34,74.839,75.658,75.046,75.25,75.68,75.791,75.037,75.558,75.049,75.229,73.868,74.792,74.6,74.37,74.772,75.708,75.802,74.722,74.777,75.01,74.908,73.784,75.427,76.75,74.238,75.55,74.912,74.619,75.481,74.927,74.542,75.067,74.917,74.973,76.322,75.428,75.322,75.153,74.66,75.57,0
120.4,120.41,120.42,120.39,120.38,120.39,120.38,120.4,120.39,120.4,120.4,120.38,120.41,120.37,120.43,120.4,120.4,120.39,120.4,120.39,120.4,120.4,120.4,120.41,120.41,120.39,120.4,120.39,120.39,120.41,120.39,120.41,120.37,120.39,120.39,120.39,120.42,120.43,120.42,120.42,120.41,120.41,120.4,120.4,120.42,120.41,120.42,120.39,120.41,120.36,120.39,120.4,0
0.3399,0.3356,0.33761,0.33631,0.34839,0.34411,0.35182,0.35126,0.34324,0.34227,0.33701,0.33602,0.34943,0.34756,0.34859,0.34951,0.32982,0.33016,0.32591,0.32348,0.3444,0.34625,0.3359,0.3365,0.31343,0.31218,0.34449,0.33763,0.34793,0.34542,0.3402,0.34009,0.34475,0.3466,0.34509,0.34465,0.33924,0.33832,0.32741,0.3266,0.35319,0.35439,0.33476,0.3334,0.3238,0.32464,0.32711,0.32839,0.33514,0.33655,0.34745,0.34561,0
80.007,80.281,80.229,80.221,80.218,80.145,79.961,79.887,79.975,80.198,80.31,80.091,79.924,79.861,80.155,80.241,80.19,80.095,80.23,80.073,79.89,80.08,80.147,80.214,80.26,80.149,79.802,79.911,79.912,80.069,80.125,80.046,80.073,80.057,80.177,80.145,80.078,80.272,80.01,79.82,79.844,79.907,80.075,80.017,80.198,80.201,80.461,80.338,80.148,80.072,80.128,80.134,0
51.317,48.67,51.879,49.955,48.691,50.101,50.093,51.169,50.968,49.277,49.034,50.173,49.375,51.736,50.192,49.647,51.206,50.218,48.706,49.834,50.552,51.057,51.526,49.569,48.297,50.024,50.065,49.458,50.656,49.995,50.523,49.587,51.134,51.839,49.234,49.413,50.637,49.853,48.926,51.051,50.805,49.359,50.321,49.991,50.819,49.699,50.311,51.367,49.961,49.567,49.692,49.606,0
2633.1,2634.7,2633.5,2634.2,2635.1,2633.0,2632.4,2631.7,2632.6,2635.5,2636.4,2632.5,2633.2,2632.4,2634.9,2635.6,2635.6,2635.3,2638.0,2636.2,2634.2,2635.7,2636.6,2639.4,2640.0,2637.6,2634.1,2635.1,2634.1,2635.8,2635.1,2633.0,2633.5,2633.3,2637.2,2637.0,2638.2,2641.5,2638.7,2635.9,2635.1,2632.4,2633.1,2630.4,2633.0,2633.0,2635.0,2630.4,2627.1,2626.4,2626.4,2624.9,0
25.184,21.899,24.337,24.811,24.809,24.105,24.348,27.138,27.014,25.935,24.162,26.914,25.288,26.141,24.013,23.06,26.232,25.035,25.299,24.21,24.484,26.351,24.51,25.566,25.741,24.97,24.636,24.654,25.569,22.958,24.784,25.054,22.314,25.365,25.426,24.543,24.284,24.17,24.115,25.76,26.049,25.193,26.158,24.797,26.285,25.919,24.339,26.736,24.402,26.546,24.738,25.626,0
51.594,49.225,49.783,48.863,50.65,51.297,49.091,51.62,50.399,51.53,50.168,51.716,50.498,51.508,51.366,51.711,50.094,51.06,49.946,49.973,51.006,48.699,49.799,51.261,50.086,48.583,50.295,49.525,50.774,49.935,49.473,50.557,50.353,48.723,49.341,49.323,50.069,50.439,48.029,47.149,50.82,51.806,50.11,48.936,50.03,49.848,49.016,50.715,47.914,51.049,50.444,50.716,0
3102.1,3104.0,3104.3,3104.2,3102.1,3101.3,3099.7,3100.0,3098.7,3101.3,3104.1,3104.7,3100.8,3100.8,3103.8,3105.1,3105.2,3104.5,3105.6,3105.2,3102.3,3105.0,3105.8,3106.8,3106.4,3104.3,3103.2,3103.0,3101.9,3103.3,3103.9,3102.0,3101.4,3102.0,3103.3,3107.4,3106.4,3107.3,3105.6,3103.9,3100.7,3100.2,3099.4,3098.9,3101.1,3101.7,3103.0,3100.9,3098.3,3096.6,3096.0,3096.3,0
22.848,22.205,21.96,22.323,23.378,23.208,23.481,21.881,22.701,23.752,22.898,23.261,23.112,22.441,23.721,22.476,23.044,23.744,22.12,22.354,23.521,22.345,23.17,23.135,22.924,22.63,22.243,22.291,22.398,23.212,23.484,22.128,23.523,23.901,21.664,21.431,23.101,24.118,22.141,23.905,22.154,22.774,22.107,22.781,22.365,23.649,22.94,21.639,22.533,22.666,22.071,23.158,0
65.706,65.739,65.78,65.789,65.791,65.775,65.746,65.691,65.652,65.675,65.716,65.769,65.71,65.644,65.639,65.696,65.685,65.72,65.715,65.742,65.659,65.632,65.658,65.644,65.681,65.695,65.651,65.585,65.598,65.644,65.68,65.702,65.695,65.71,65.72,65.728,65.73,65.749,65.749,65.702,65.651,65.664,65.728,65.753,65.821,65.877,65.97,66.044,66.017,66.018,66.003,66.049,0
230.7,230.34,228.84,228.45,228.64,230.64,229.45,229.72,230.59,230.41,231.86,230.2,231.36,228.22,231.78,229.55,228.93,229.44,227.78,229.27,230.41,229.09,227.81,226.77,228.94,229.06,227.75,230.07,230.5,231.15,232.65,230.88,230.15,227.92,230.85,230.26,230.85,230.62,230.64,232.3,232.25,231.88,232.62,234.21,233.83,234.45,235.55,235.77,235.65,237.77,236.14,237.37,0
341.29,340.86,340.67,341.6,341.58,341.39,341.86,341.49,341.71,342.15,341.41,340.87,341.57,341.38,341.61,341.25,340.9,341.47,341.36,341.5,341.67,341.65,341.42,341.84,341.72,342.19,341.52,341.27,341.65,341.76,341.47,341.64,341.57,341.5,341.54,341.64,341.72,342.81,342.61,342.07,343.1,342.11,342.16,341.45,340.99,341.09,340.74,340.28,340.21,340.03,340.19,339.55,0
94.667,94.522,94.681,94.541,94.574,94.768,94.484,94.609,94.552,94.716,94.516,94.74,94.584,94.805,94.563,94.534,94.514,94.76,94.349,94.547,94.599,94.738,94.544,94.49,94.523,94.607,94.57,94.521,94.68,94.572,94.596,94.557,94.748,94.692,94.853,94.684,94.649,94.601,94.467,94.454,94.581,94.469,94.6,94.529,94.63,94.573,94.443,94.486,94.661,94.594,94.876,94.719,0
77.375,77.8,77.585,77.489,77.399,76.945,77.15,76.883,77.454,77.579,77.509,77.0,77.062,77.292,77.557,77.41,77.354,77.236,77.684,76.924,77.499,77.533,77.16,77.479,77.327,77.238,76.879,77.241,76.974,77.538,77.246,77.225,77.15,77.164,77.757,77.334,77.578,77.324,76.955,76.675,77.202,77.36,77.243,77.553,77.267,77.762,77.518,77.129,77.356,77.132,77.47,77.055,0
32.188,32.188,32.265,32.265,32.086,32.086,32.155,32.155,32.386,32.386,32.269,32.269,32.345,32.345,32.064,32.064,32.033,32.033,32.138,32.138,32.002,32.002,32.436,32.436,32.012,32.012,32.066,32.066,32.148,32.148,32.219,32.219,31.737,31.737,32.115,32.115,31.988,31.988,32.364,32.364,32.863,32.863,32.313,32.313,32.437,32.437,32.247,32.247,32.214,32.214,32.335,32.335,0
8.8933,8.8933,8.8472,8.8472,8.7784,8.7784,8.9498,8.9498,8.9165,8.9165,8.943,8.943,8.9528,8.9528,8.9619,8.9619,8.8607,8.8607,8.8636,8.8636,9.0213,9.0213,8.86,8.86,8.9612,8.9612,8.8451,8.8451,8.9152,8.9152,8.8215,8.8215,9.0041,9.0041,8.9866,8.9866,8.8305,8.8305,8.8722,8.8722,8.9452,8.9452,8.9662,8.9662,8.9603,8.9603,8.8486,8.8486,8.7977,8.7977,8.8135,8.8135,0
26.383,26.383,25.898,25.898,26.475,26.475,26.527,26.527,26.371,26.371,26.236,26.236,26.895,26.895,26.64,26.64,26.06,26.06,26.506,26.506,26.985,26.985,26.164,26.164,26.128,26.128,26.461,26.461,26.566,26.566,26.326,26.326,26.032,26.032,26.799,26.799,26.007,26.007,26.452,26.452,26.202,26.202,26.619,26.619,26.212,26.212,26.126,26.126,26.114,26.114,26.184,26.184,0
6.882,6.882,6.927,6.927,6.7721,6.7721,6.9472,6.9472,6.8947,6.8947,6.9592,6.9592,6.8173,6.8173,6.925,6.925,6.8301,6.8301,6.915,6.915,6.8207,6.8207,6.8957,6.8957,6.8096,6.8096,6.9517,6.9517,6.8642,6.8642,7.0613,7.0613,7.0701,7.0701,6.8344,6.8344,6.7825,6.7825,6.7638,6.7638,6.8838,6.8838,6.8431,6.8431,6.7771,6.7771,6.9606,6.9606,7.0131,7.0131,6.9093,6.9093,0
18.776,18.776,18.977,18.977,18.631,18.631,18.997,18.997,18.419,18.419,18.667,18.667,18.922,18.922,18.856,18.856,18.704,18.704,18.462,18.462,18.594,18.594,18.818,18.818,18.386,18.386,18.519,18.519,19.325,19.325,18.487,18.487,18.74,18.74,18.587,18.587,18.877,18.877,18.879,18.879,18.298,18.298,18.269,18.269,18.582,18.582,18.744,18.744,19.102,19.102,18.713,18.713,0
1.6567,1.6567,1.6573,1.6573,1.6713,1.6713,1.6231,1.6231,1.6744,1.6744,1.6704,1.6704,1.6595,1.6595,1.6755,1.6755,1.6738,1.6738,1.6193,1.6193,1.6742,1.6742,1.605,1.605,1.664,1.664,1.672,1.672,1.6686,1.6686,1.6622,1.6622,1.6523,1.6523,1.6872,1.6872,1.6516,1.6516,1.6566,1.6566,1.6706,1.6706,1.6755,1.6755,1.6302,1.6302,1.6312,1.6312,1.6754,1.6754,1.6852,1.6852,0
32.958,32.958,32.93,32.93,33.119,33.119,33.079,33.079,32.703,32.703,33.404,33.404,33.092,33.092,33.111,33.111,33.109,33.109,32.682,32.682,32.643,32.643,33.224,33.224,33.18,33.18,33.086,33.086,33.184,33.184,33.438,33.438,32.545,32.545,33.109,33.109,33.076,33.076,33.134,33.134,33.059,33.059,33.413,33.413,33.346,33.346,33.143,33.143,33.152,33.152,32.809,32.809,0
13.823,13.823,13.906,13.906,13.924,13.924,13.873,13.873,13.805,13.805,13.893,13.893,13.899,13.899,13.724,13.724,13.706,13.706,13.887,13.887,13.833,13.833,13.589,13.589,13.853,13.853,13.9,13.9,13.865,13.865,13.902,13.902,13.878,13.878,13.823,13.823,13.706,13.706,13.966,13.966,13.758,13.758,13.692,13.692,13.753,13.753,13.816,13.816,13.91,13.91,14.032,14.032,0
23.978,23.978,23.847,23.847,24.394,24.394,23.897,23.897,23.886,23.886,23.798,23.798,24.023,24.023,23.883,23.883,24.024,24.024,24.071,24.071,24.092,24.092,23.52,23.52,24.202,24.202,23.624,23.624,23.912,23.912,24.022,24.022,24.138,24.138,24.232,24.232,24.114,24.114,24.361,24.361,24.136,24.136,24.059,24.059,24.016,24.016,23.881,23.881,24.028,24.028,23.216,23.216,0
1.2565,1.2565,1.1542,1.1542,1.2753,1.2753,1.127,1.127,1.154,1.154,1.5004,1.5004,1.1452,1.1452,1.2378,1.2378,1.353,1.353,1.3127,1.3127,1.3026,1.3026,1.4401,1.4401,1.3048,1.3048,1.195,1.195,1.2495,1.2495,1.326,1.326,1.24,1.24,1.2093,1.2093,1.2933,1.2933,1.1584,1.1584,1.3165,1.3165,1.2804,1.2804,1.0458,1.0458,1.1826,1.1826,1.4252,1.4252,1.1819,1.1819,0
18.579,18.579,18.833,18.833,18.222,18.222,18.445,18.445,18.969,18.969,18.875,18.875,18.949,18.949,19.118,19.118,17.671,17.671,18.637,18.637,18.419,18.419,18.623,18.623,18.24,18.24,18.629,18.629,18.502,18.502,18.233,18.233,18.561,18.561,18.839,18.839,18.61,18.61,18.309,18.309,18.416,18.416,18.35,18.35,18.783,18.783,18.533,18.533,18.539,18.539,18.205,18.205,0
2.2633,2.2633,2.2792,2.2792,2.2898,2.2898,2.2426,2.2426,2.268,2.268,2.27,2.27,2.2385,2.2385,2.295,2.295,2.223,2.223,2.313,2.313,2.243,2.243,2.2729,2.2729,2.2634,2.2634,2.2951,2.2951,2.2835,2.2835,2.2454,2.2454,2.2599,2.2599,2.2297,2.2297,2.2039,2.2039,2.2601,2.2601,2.239,2.239,2.2616,2.2616,2.2864,2.2864,2.211,2.211,2.2505,2.2505,2.2541,2.2541,0
4.8436,4.8436,4.8814,4.8814,4.7992,4.7992,4.861,4.861,4.7573,4.7573,4.6798,4.6798,4.8621,4.8621,4.8577,4.8577,4.8203,4.8203,4.8643,4.8643,4.8899,4.8899,4.886,4.886,4.7973,4.7973,4.8777,4.8777,4.8044,4.8044,4.8671,4.8671,4.8409,4.8409,4.7864,4.7864,4.9242,4.9242,4.8405,4.8405,4.8205,4.8205,4.8438,4.8438,4.8062,4.8062,4.8397,4.8397,4.8975,4.8975,4.8724,4.8724,0
2.2986,2.2986,2.2239,2.2239,2.2417,2.2417,2.3385,2.3385,2.2343,2.2343,2.3167,2.3167,2.2407,2.2407,2.3572,2.3572,2.337,2.337,2.2448,2.2448,2.2012,2.2012,2.3665,2.3665,2.3403,2.3403,2.3037,2.3037,2.279,2.279,2.3088,2.3088,2.3653,2.3653,2.3103,2.3103,2.2529,2.2529,2.3361,2.3361,2.3761,2.3761,2.2736,2.2736,2.3705,2.3705,2.2543,2.2543,2.3079,2.3079,2.294,2.294,0
0.017866,0.017866,0.017866,0.017866,0.017866,0.017724,0.017724,0.017724,0.017724,0.017724,0.026186,0.026186,0.026186,0.026186,0.026186,0.013012,0.013012,0.013012,0.013012,0.013012,0.018427,0.018427,0.018427,0.018427,0.018427,0.037035,0.037035,0.037035,0.037035,0.037035,0.029183,0.029183,0.029183,0.029183,0.029183,0.019651,0.019651,0.019651,0.019651,0.019651,0.017444,0.017444,0.017444,0.017444,0.017444,0.0089813,0.0089813,0.0089813,0.0089813,0.0089813,0.012655,0.012655,0
0.8357,0.8357,0.8357,0.8357,0.8357,0.8302,0.8302,0.8302,0.8302,0.8302,0.83459,0.83459,0.83459,0.83459,0.83459,0.82669,0.82669,0.82669,0.82669,0.82669,0.85337,0.85337,0.85337,0.85337,0.85337,0.83478,0.83478,0.83478,0.83478,0.83478,0.83804,0.83804,0.83804,0.83804,0.83804,0.85391,0.85391,0.85391,0.85391,0.85391,0.85115,0.85115,0.85115,0.85115,0.85115,0.8457,0.8457,0.8457,0.8457,0.8457,0.83228,0.83228,0
0.098577,0.098577,0.098577,0.098577,0.098577,0.097815,0.097815,0.097815,0.097815,0.097815,0.095339,0.095339,0.095339,0.095339,0.095339,0.10597,0.10597,0.10597,0.10597,0.10597,0.10844,0.10844,0.10844,0.10844,0.10844,0.10211,0.10211,0.10211,0.10211,0.10211,0.087587,0.087587,0.087587,0.087587,0.087587,0.095021,0.095021,0.095021,0.095021,0.095021,0.098027,0.098027,0.098027,0.098027,0.098027,0.097082,0.097082,0.097082,0.097082,0.097082,0.098467,0.098467,0
53.724,53.724,53.724,53.724,53.724,54.081,54.081,54.081,54.081,54.081,53.134,53.134,53.134,53.134,53.134,53.149,53.149,53.149,53.149,53.149,53.998,53.998,53.998,53.998,53.998,53.294,53.294,53.294,53.294,53.294,53.27,53.27,53.27,53.27,53.27,54.504,54.504,54.504,54.504,54.504,52.615,52.615,52.615,52.615,52.615,52.582,52.582,52.582,52.582,52.582,52.909,52.909,0
43.828,43.828,43.828,43.828,43.828,43.994,43.994,43.994,43.994,43.994,43.854,43.854,43.854,43.854,43.854,43.994,43.994,43.994,43.994,43.994,44.538,44.538,44.538,44.538,44.538,43.121,43.121,43.121,43.121,43.121,44.397,44.397,44.397,44.397,44.397,43.545,43.545,43.545,43.545,43.545,44.905,44.905,44.905,44.905,44.905,43.376,43.376,43.376,43.376,43.376,43.87,43.87,0
63.422,62.523,62.717,63.226,63.234,62.329,63.193,63.017,62.167,62.861,62.749,63.3,62.261,62.567,63.324,63.605,62.989,63.475,62.916,63.487,62.896,63.066,63.476,63.233,62.786,63.295,63.99,63.613,62.25,62.686,63.424,63.137,61.935,62.218,62.371,61.444,62.618,63.066,64.142,63.941,63.411,63.644,62.978,62.648,63.317,63.567,63.077,63.594,63.03,62.378,62.381,62.442,0
53.617,53.926,54.032,53.708,53.259,53.755,54.285,54.207,53.401,53.8,54.929,54.565,54.157,54.141,53.618,53.654,54.089,53.922,53.452,53.965,54.549,54.508,54.137,54.225,54.175,53.793,54.403,54.022,55.031,54.471,53.588,52.979,54.299,54.215,54.118,53.95,54.278,54.038,53.919,54.033,53.553,53.574,54.835,54.874,54.73,54.999,54.514,54.389,54.041,54.243,53.814,53.528,0
24.708,24.579,24.521,24.558,24.024,23.82,25.482,25.597,25.216,24.911,22.918,22.77,23.468,23.662,22.906,22.845,25.53,25.439,25.91,25.715,25.078,24.976,26.443,26.733,22.087,22.375,26.28,26.234,25.929,26.02,25.33,25.343,24.668,24.544,29.228,29.382,26.089,26.196,27.495,27.324,23.95,23.954,18.551,18.764,23.37,23.416,22.119,22.002,23.725,23.67,24.048,24.064,0
62.265,61.306,60.532,61.496,60.781,63.204,62.717,62.698,60.319,58.692,61.195,62.305,61.216,61.154,62.457,63.22,63.766,59.996,61.965,61.673,61.287,62.249,62.148,61.333,60.035,61.646,63.469,61.078,61.12,60.235,61.172,61.054,60.276,62.81,62.363,61.349,59.761,63.463,59.906,62.058,63.553,62.493,62.616,63.356,60.962,60.93,62.482,62.179,59.627,60.935,60.948,62.443,0
22.224,21.975,21.64,22.324,22.506,22.213,22.382,22.367,22.334,22.413,22.367,21.818,22.205,22.224,22.305,22.076,21.789,22.204,22.593,22.278,22.233,22.034,22.259,22.513,22.62,22.442,22.506,22.231,22.167,22.353,22.23,22.347,22.182,22.127,22.355,22.113,22.35,22.799,22.658,22.419,22.884,22.352,22.402,22.253,22.333,22.268,22.218,21.905,21.93,21.93,22.147,21.545,0
39.724,40.249,40.003,40.161,40.962,41.484,41.178,41.247,40.974,41.093,39.94,40.06,40.812,41.041,41.166,41.053,38.768,38.725,38.6,38.896,41.16,40.935,40.798,40.725,36.838,36.99,39.958,40.794,40.883,41.189,40.989,41.001,41.507,41.281,40.921,40.975,40.208,40.32,38.442,38.54,42.253,42.107,38.995,39.161,38.434,38.332,39.516,39.359,40.155,39.982,41.23,41.454,0
41.975,34.187,43.628,37.967,34.247,38.397,38.373,41.54,40.947,35.971,35.257,38.61,36.26,43.208,38.665,37.062,41.648,38.742,34.292,37.612,39.724,41.212,42.592,36.831,33.088,38.171,38.29,36.505,40.03,38.085,39.64,36.885,41.436,43.512,35.846,36.374,39.975,37.668,34.939,41.193,40.47,36.215,39.045,38.075,40.51,37.213,39.014,42.122,37.985,36.826,37.194,36.94,0
50.223,44.741,46.032,43.903,48.037,49.536,44.43,50.282,47.457,50.075,46.922,50.506,47.686,50.024,49.695,50.493,46.752,48.986,46.41,46.472,48.861,43.523,46.069,49.452,46.734,43.255,47.217,45.434,48.325,46.383,45.314,47.822,47.351,43.578,45.008,44.966,46.693,47.55,41.973,39.935,48.432,50.715,46.789,44.071,46.603,46.182,44.257,48.188,41.708,48.962,47.562,48.191,0
47.411,47.442,47.574,47.606,47.585,47.404,47.513,47.491,47.419,47.437,47.161,47.243,47.078,47.3,46.925,47.168,47.205,47.145,47.274,47.123,46.798,46.812,46.82,46.806,46.506,47.079,47.391,47.384,47.542,47.679,47.276,47.426,47.482,47.672,47.403,47.531,47.505,47.552,47.576,47.459,47.923,48.172,48.318,48.386,48.628,48.737,48.821,48.981,49.174,49.169,49.382,49.406,0
41.093,41.303,41.52,41.284,40.949,40.928,40.028,40.94,40.3,41.338,40.801,40.526,41.382,39.747,41.683,40.765,41.17,41.05,40.98,40.964,41.42,41.628,41.157,41.622,40.828,41.714,41.025,40.349,40.722,40.994,40.738,41.656,40.986,40.752,40.733,40.353,40.675,41.985,41.622,40.218,41.347,41.026,40.935,41.046,41.553,41.203,41.294,40.791,40.743,39.52,40.728,40.713,0
18.351,19.831,20.426,19.568,17.063,17.496,16.852,20.689,18.707,16.186,18.206,17.386,17.754,19.343,16.276,19.223,17.87,16.224,20.037,19.542,16.749,19.531,17.586,17.64,18.14,18.843,19.813,19.688,19.459,17.483,16.853,20.073,16.767,15.876,21.142,21.713,17.733,15.314,20.042,15.898,20.028,18.552,20.133,18.519,19.516,16.429,18.096,21.21,19.08,18.797,20.19,17.643,0
